#ìÆâÊÉtÉ@ÉCÉã,20180925150704.m2ts,,,,,,,,,,,,,,,,,,,,,
#äJénÉtÉåÅ[ÉÄ,42,,,,,,,,,,,,,,,,,,,,,
#èIóπÉtÉåÅ[ÉÄ,72,,,,,,,,,,,,,,,,,,,,,
#ämìx,0,,,,,,,,,,,,,,,,,,,,,
#ÉtÉBÉãÉ^,Butterworth 12.0Hz,,,,,,,,,,,,,,,,,,,,,
#íPà ,deg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
frame,åzïî ç∂åXéŒ(Å{)ÅÃâEåXéŒ(Å|),R å®ä÷êﬂ äOì](Å{)ÅÃì‡ì](Å|),L å®ä÷êﬂ äOì](Å{)ÅÃì‡ì](Å|),R ïIä÷êﬂ äOîΩ(Å{)ÅÃì‡îΩ(Å|),L ïIä÷êﬂ äOîΩ(Å{)ÅÃì‡îΩ(Å|),ëÃä≤ ç∂åXéŒ(Å{)ÅÃâEåXéŒ(Å|),R å“ä÷êﬂ äOì](Å{)ÅÃì‡ì](Å|),L å“ä÷êﬂ äOì](Å{)ÅÃì‡ì](Å|),R ïGä÷êﬂ äOîΩ(Å{)ÅÃì‡îΩ(Å|),L ïGä÷êﬂ äOîΩ(Å{)ÅÃì‡îΩ(Å|),R ë´ä÷êﬂ äOì](Å{)ÅÃì‡ì](Å|),L ë´ä÷êﬂ äOì](Å{)ÅÃì‡ì](Å|),å®ÉâÉCÉì âEåXéŒ(Å{)ÅÃç∂åXéŒ(Å|),R è„òr äOì](Å{)ÅÃì‡ì](Å|),L è„òr äOì](Å{)ÅÃì‡ì](Å|),R ëOòr äOì](Å{)ÅÃì‡ì](Å|),L ëOòr äOì](Å{)ÅÃì‡ì](Å|),çúî’ âEåXéŒ(Å{)ç∂åXéŒ(Å|),R ëÂë⁄ äOì](Å{)ÅÃì‡ì](Å|),L ëÂë⁄ äOì](Å{)ÅÃì‡ì](Å|),R â∫ë⁄ äOåXéŒ(Å{)ÅÃì‡åXéŒ(Å|),L â∫ë⁄ äOåXéŒ(Å{)ÅÃì‡åXéŒ(Å|)
42,-0.187492,61.6764,62.2511,142.467,132.136,2.51272,7.50048,12.4617,-0.901542,-10.4243,-5.95984,-3.00304,1.25843,61.6651,64.8187,-155.868,-163.046,-0.0367846,7.53537,12.4268,-6.63423,-2.00242
43,-0.293812,63.5812,53.1037,144.602,140.066,3.23965,6.08921,13.1947,-0.618264,-9.30398,0.263214,-6.0166,3.60865,61.0859,57.8311,-154.312,-162.103,-0.280835,6.37006,12.9138,-5.75152,-3.60985
44,-1.19509,62.9485,56.1309,145.922,136.71,3.33299,10.7429,12.2744,-2.79882,-11.777,3.01019,-7.24115,2.85868,60.4181,59.3471,-153.66,-163.943,2.60479,8.13808,14.8792,-5.33921,-3.10217
45,-3.64119,62.0108,59.3537,145.46,136.848,3.99247,10.0598,16.9073,-4.3676,-16.9173,5.27597,-3.87306,2.39452,59.4962,61.6101,-155.044,-161.542,1.15214,8.90762,18.0595,-4.54003,-1.14209
46,-4.9681,60.0378,61.8363,145.33,137.255,4.76284,12.3168,19.6466,-8.41267,-20.651,6.12756,-0.142746,0.193837,60.3077,62.5512,-154.363,-160.194,1.06596,11.2508,20.7127,-2.83804,-0.0610446
47,-5.00281,59.9641,62.4505,146.647,134.792,5.10705,14.0641,19.5098,-7.33081,-22.171,5.41428,-0.0493164,-1.21765,61.766,61.8467,-151.587,-163.361,2.721,11.343,22.2308,-4.01218,-0.0617096
48,-4.42217,59.8531,58.6995,149.01,138.973,4.44624,9.26833,21.9227,-1.05459,-23.0801,6.67398,-0.0495911,-0.0912856,60.6591,59.3233,-150.331,-161.704,1.13391,8.13437,23.0566,-7.07972,0.0285565
49,-3.94663,55.1955,58.6107,151.082,142.529,3.57361,10.9678,22.8756,-2.83709,-23.8317,8.9688,0.204178,-1.05188,56.6076,57.922,-152.311,-159.549,1.0664,9.90147,23.9419,-7.06455,-0.110817
50,-5.70988,53.7989,60.4323,151.427,144.215,4.1872,10.8993,23.5758,-3.41698,-23.1693,8.07571,0.088974,-1.42868,54.7401,58.4975,-153.833,-157.288,0.681078,10.2181,24.257,-6.80109,-1.08771
51,-6.38413,54.4942,59.9298,150.454,145.99,3.86545,8.66735,22.1678,-1.18398,-20.4001,7.41849,0.432907,-0.889834,55.9879,59.6721,-153.558,-154.337,-0.375238,9.04302,21.7922,-7.85927,-1.39212
52,-3.98173,53.6741,61.8463,149.676,142.761,2.74137,9.02794,20.1249,-0.862662,-19.2715,8.49783,-0.0718689,-1.51421,56.4232,61.6199,-153.901,-155.619,0.193994,8.83436,20.3185,-7.97184,-1.04707
53,-3.40036,60.0106,70.2606,147.36,140.009,2.64142,7.14473,18.734,0.448133,-17.3567,10.199,0.332169,-1.61765,61.6759,68.6945,-150.964,-151.297,0.0360378,7.1048,18.774,-7.55241,-1.41723
54,-6.92255,72.7404,76.8138,140.988,137.869,2.30897,8.94554,13.9064,-0.989263,-14.7232,11.6818,0.172867,-0.727539,73.0405,75.6049,-145.972,-146.526,1.81199,7.13361,15.7183,-6.14429,-0.995273
55,-8.67362,84.1811,73.6407,138.25,138.297,2.31365,9.47954,11.7895,-2.25365,-13.594,9.65987,-0.864761,3.06835,81.8653,77.5414,-139.884,-144.162,2.11634,7.3632,13.9058,-5.10941,-0.311567
56,-5.36319,90.8364,74.3811,139.16,142.327,1.83735,6.69701,12.205,-1.2688,-10.0693,7.03708,-6.33214,5.50397,86.9384,81.6292,-133.902,-136.043,-0.107044,6.80372,12.0983,-5.5348,-2.02914
57,-3.54706,92.5177,84.3528,137.097,138.384,0.452044,6.78465,9.56129,0.339134,-5.54699,3.00183,-10.8552,3.35976,90.1027,88.7196,-132.8,-132.897,0.266421,6.519,9.82698,-6.85775,-4.28002
58,-3.86286,91.8156,88.0781,134.593,133.211,0.331295,5.20897,7.492,3.44838,-2.23004,-3.38766,-3.0827,2.31683,89.9613,90.8801,-135.445,-135.909,-0.300986,5.5096,7.19135,-8.95807,-4.9614
59,-4.13286,87.775,87.602,132.789,133.978,1.05558,5.50854,5.48379,1.85703,-1.67562,-6.70587,-1.86926,1.14268,87.2188,89.3809,-139.992,-136.641,0.285886,5.22258,5.76979,-7.07955,-4.09416
60,-4.64645,82.2757,85.1526,132.221,134.379,1.30239,7.15697,5.59177,-4.07177,-5.15153,-6.79773,-14.5321,0.238636,82.9104,86.2922,-144.868,-139.328,1.57444,5.58252,7.16623,-1.51071,-2.01475
61,-4.02413,78.0402,75.7617,134.572,138.219,1.65993,3.60899,9.10403,-5.73375,-7.43115,-8.093,-16.0825,1.91921,77.197,78.7742,-148.231,-143.007,-1.70567,5.31466,7.39834,0.419564,0.0368468
62,-3.06954,69.1793,73.4482,138.631,143.291,1.39912,3.61135,8.29237,-5.0757,-8.58387,-10.4572,-9.701,0.575472,69.9509,75.453,-151.418,-141.256,-1.80762,5.41896,6.48475,-0.343929,2.09911
63,-2.93449,64.8961,71.8108,142.409,143.736,0.775123,3.24821,8.86381,-4.1758,-10.2879,-10.4083,-9.4841,-0.740083,66.3834,71.835,-151.208,-144.429,-1.83525,5.08346,7.02855,-0.907634,3.25926
64,-3.01874,67.8668,66.0657,143.72,143.869,0.792137,0.52356,10.2255,-2.11235,-8.30261,-6.64206,-6.207,0.802764,66.4035,66.1902,-149.877,-149.94,-3.658,4.18154,6.56745,-2.06926,1.73518
65,-2.3875,64.9771,65.4841,143.907,144.664,0.682089,4.20422,5.84057,-0.748811,-6.37485,-3.03033,-2.38943,0.128078,64.6175,65.3737,-151.475,-149.962,0.270731,3.93337,6.11143,-3.18437,0.263862
66,-0.64723,60.4933,62.3073,145.414,143.614,0.16493,2.54613,6.8414,1.67716,-5.972,-1.99226,-0.693298,-1.1347,62.8366,62.3925,-151.749,-153.994,-0.649519,3.19572,6.19191,-4.87284,-0.219809
67,0.394237,57.6351,58.8553,146.765,145.441,-0.0821477,-1.9734,10.5373,3.35179,-5.32693,-1.06244,-2.43317,-1.4952,60.4303,58.6431,-152.805,-155.916,-4.46985,2.49651,6.06736,-5.84817,-0.740592
68,-0.674804,56.8959,61.0947,147.506,145.914,0.161905,2.20034,7.88464,2.40149,-6.63919,-1.87753,-9.87265,-2.00566,58.5443,58.737,-153.949,-155.349,-1.02552,3.22569,6.85924,-5.62733,-0.21955
69,-2.56935,57.7444,60.0671,147.561,144.952,0.641887,3.40358,7.83416,0.395552,-6.046,-1.16388,-11.0979,-1.48425,58.6267,57.9716,-153.812,-157.077,-0.884217,4.2879,6.94985,-4.68397,-0.903763
70,-3.28382,55.8638,57.147,148.318,145.606,0.819787,2.37668,9.27528,-1.17933,-4.88863,-2.4082,-7.06433,-0.796971,57.2529,56.9772,-154.429,-157.417,-2.48876,4.86548,6.78648,-3.68602,-1.89778
71,-2.85381,55.4712,57.2435,149.371,145.956,0.679588,5.43799,7.27894,-0.606119,-6.66572,-7.70338,-6.32649,-0.185101,55.8956,57.3124,-154.733,-156.732,0.353162,5.08461,7.6323,-4.47841,-0.966504
