#����t�@�C��,20180925150704.m2ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�J�n�t���[��,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�I���t���[��,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�m�x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�t�B���^,Butterworth 12.0Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�P��,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,Nose(x),Nose(z),Neck(x),Neck(z),R Shoulder(x),R Shoulder(z),R Elbow(x),R Elbow(z),R Wrist(x),R Wrist(z),L Shoulder(x),L Shoulder(z),L Elbow(x),L Elbow(z),L Wrist(x),L Wrist(z),Mid Hip(x),Mid Hip(z),R Hip(x),R Hip(z),R Knee(x),R Knee(z),R Ankle(x),R Ankle(z),L Hip(x),L Hip(z),L Knee(x),L Knee(z),L Ankle(x),L Ankle(z),R Eye(x),R Eye(z),L Eye(x),L Eye(z),R Ear(x),R Ear(z),L Ear(x),L Ear(z),L Big Toe(x),L Big Toe(z),L Small Toe(x),L Small Toe(z),L Heel(x),L Heel(z),R Big Toe(x),R Big Toe(z),R Small Toe(x),R Small Toe(z),R Heel(x),R Heel(z),COG(�S�g)(x),COG(�S�g)(z),COG(���� + ����)(x),COG(���� + ����)(z)
42,-232.129,-46.6852,-231.464,-63.0641,-216.386,-63.0671,-189.715,-77.4489,-198.606,-57.602,-245.812,-62.4207,-270.489,-74.023,-265.699,-58.3084,-229.39,-110.307,-220.473,-110.298,-215.038,-151.384,-210.263,-192.437,-238.983,-110.31,-247.877,-150.674,-249.242,-189.712,-228.035,-44.6074,-234.864,-45.2599,-223.234,-45.2892,-238.336,-45.9318,-248.561,-202.7,-254.042,-200.653,-248.579,-193.116,-211.62,-205.437,-206.801,-204.732,-210.927,-194.497,-227.768,-102.437,-230.466,-107.73
43,-232.143,-56.1288,-231.43,-69.9721,-215.772,-70.6544,-189.704,-85.0535,-198.566,-66.6284,-246.976,-68.6865,-270.552,-83.515,-265.705,-68.5062,-228.762,-117.116,-219.878,-117.068,-215.06,-160.227,-210.986,-200.675,-238.932,-117.161,-247.912,-156.325,-250.627,-199.357,-228.027,-52.2776,-234.229,-52.3969,-222.612,-52.1303,-238.978,-53.0502,-249.253,-212.391,-254.752,-210.969,-250.593,-201.421,-210.924,-214.142,-205.508,-211.471,-212.456,-203.892,-227.662,-109.716,-230.294,-114.802
44,-232.145,-63.9555,-231.566,-79.4717,-216.289,-80.1468,-189.809,-95.1785,-199.367,-75.8733,-245.581,-78.6841,-270.392,-93.3881,-266.414,-79.5675,-228.725,-128.253,-219.784,-129.011,-214.321,-167.219,-210.808,-204.809,-238.465,-128.162,-248.583,-166.244,-250.668,-204.716,-228.094,-62.1262,-234.208,-61.9038,-222.554,-62.4589,-238.384,-62.0084,-249.289,-215.569,-254.723,-214.33,-250.057,-206.085,-210.287,-214.71,-205.437,-211.898,-213.41,-206.517,-227.651,-119.138,-230.286,-124.528
45,-232.091,-73.828,-231.988,-90.5297,-215.839,-91.2389,-190.323,-106.271,-199.125,-87.3585,-246.031,-89.9764,-270.572,-103.24,-266.286,-90.3993,-228.709,-137.521,-219.141,-138.04,-213.737,-172.519,-211.125,-205.417,-238.213,-137.656,-249.22,-171.411,-249.9,-205.527,-227.948,-70.9039,-234.172,-70.4826,-222.614,-72.5796,-239.008,-70.4152,-249.246,-215.185,-254.728,-213.695,-249.143,-206.893,-210.213,-215.294,-205.495,-212.712,-213.936,-206.442,-227.697,-127.613,-230.358,-133.075
46,-232.203,-83.8017,-232.266,-101.399,-215.693,-101.321,-190.432,-115.725,-198.783,-98.3235,-247.022,-101.215,-270.34,-113.327,-265.826,-100.793,-228.769,-143.366,-219.24,-143.54,-212.894,-175.44,-211.406,-205.464,-238.48,-143.182,-249.305,-171.81,-249.341,-205.416,-227.493,-79.3098,-234.281,-79.0091,-222.525,-81.6632,-238.954,-81.1174,-249.316,-215.557,-254.729,-213.637,-248.67,-207.521,-210.269,-216.053,-205.426,-213.22,-214.814,-206.472,-227.731,-134.103,-230.414,-139.383
47,-232.02,-90.3199,-231.984,-110.271,-215.7,-109.759,-190.399,-123.345,-199.096,-107.269,-247.485,-110.435,-269.885,-122.422,-266.254,-110.274,-228.633,-147.762,-218.966,-148.265,-213.145,-177.284,-211.169,-205.452,-238.879,-147.318,-249.218,-172.615,-249.252,-205.5,-227.272,-87.1416,-234.097,-86.7083,-222.624,-89.6916,-238.444,-90.1095,-249.243,-215.797,-254.719,-213.741,-248.55,-207.452,-210.22,-215.463,-205.483,-212.858,-214.447,-207.335,-227.633,-139.241,-230.286,-144.4
48,-231.583,-95.9605,-231.574,-115.909,-215.083,-115.677,-190.369,-129.569,-198.769,-114.824,-248.145,-115.728,-270.425,-128.945,-266.509,-117.102,-228.859,-150.834,-218.727,-150.996,-214.844,-178.161,-211.451,-205.487,-239.051,-150.594,-249.332,-174.749,-249.319,-205.462,-227.451,-92.5835,-233.65,-91.7255,-222.504,-95.3082,-238.852,-94.9897,-249.311,-215.645,-254.759,-213.598,-248.533,-207.626,-210.24,-215.829,-205.447,-213.729,-214.407,-208.198,-227.735,-142.869,-230.388,-147.808
49,-231.308,-100.102,-231.426,-118.345,-214.968,-117.94,-190.447,-134.103,-198.525,-118.71,-247.74,-118.541,-270.523,-132.821,-266.238,-121.329,-229.238,-153.386,-219.52,-153.297,-215.216,-177.955,-211.72,-206.168,-238.998,-152.935,-249.195,-175.9,-249.252,-205.473,-227.26,-95.7272,-233.398,-95.1471,-221.97,-99.4095,-238.494,-98.8606,-249.288,-215.687,-254.656,-213.761,-247.99,-208.084,-210.214,-215.709,-205.449,-213.663,-214.874,-208.357,-227.834,-145.03,-230.532,-149.792
50,-230.944,-99.8671,-231.447,-118.767,-215.057,-118.498,-190.424,-135.912,-198.658,-119.155,-247.234,-119.3,-270.512,-133.566,-265.876,-122.49,-228.913,-153.38,-219.44,-153.43,-214.843,-178.931,-211.602,-206.104,-238.957,-153.198,-248.677,-174.769,-249.26,-205.46,-226.778,-96.3184,-232.983,-96.3259,-221.852,-100.57,-238.227,-99.1565,-249.276,-215.741,-254.828,-213.57,-247.794,-206.896,-210.247,-215.658,-205.485,-213.65,-214.543,-207.971,-227.643,-145.217,-230.346,-149.931
51,-230.645,-97.6072,-231.525,-117.602,-215.049,-117.172,-190.269,-133.895,-198.615,-117.112,-247.278,-117.673,-271.146,-131.635,-265.572,-120.034,-229.233,-151.525,-219.594,-151.531,-215.186,-179.224,-211.56,-205.491,-239.071,-151.658,-248.524,-175.303,-249.257,-205.465,-226.656,-94.8379,-232.781,-94.6502,-221.933,-98.1961,-238.354,-96.8835,-249.334,-215.622,-254.565,-213.078,-247.992,-206.852,-210.219,-215.791,-205.438,-213.681,-214.897,-207.039,-227.759,-144.029,-230.506,-148.804
